timestamp,monitor,raw_brightness,opacity,dimmed_brightness
2026-01-10T23:33:23.030,2,80.594,0.0,80.594
2026-01-10T23:33:24.117,1,223.637,180.0,65.776
2026-01-10T23:33:24.117,2,80.435,0.0,80.435
2026-01-10T23:33:25.297,1,191.004,170.2,63.518
2026-01-10T23:33:25.297,2,80.376,0.0,80.376
2026-01-10T23:33:26.543,1,160.395,133.2,76.612
2026-01-10T23:33:26.543,2,80.400,0.0,80.400
2026-01-10T23:33:27.717,1,153.711,110.9,86.862
2026-01-10T23:33:27.717,2,82.150,3.0,81.183
2026-01-10T23:33:28.796,1,129.887,74.6,91.883
2026-01-10T23:33:28.796,2,82.213,3.0,81.246
2026-01-10T23:33:29.813,1,122.767,64.0,91.955
2026-01-10T23:33:29.813,2,82.211,3.0,81.244
2026-01-10T23:33:30.945,1,122.721,64.0,91.920
2026-01-10T23:33:30.945,2,80.937,1.0,80.620
2026-01-10T23:33:32.166,1,122.760,64.0,91.949
2026-01-10T23:33:32.166,2,80.952,1.0,80.635
2026-01-10T23:33:33.183,1,57.316,0.0,57.316
2026-01-10T23:33:33.183,2,75.508,0.0,75.508
2026-01-10T23:33:34.287,1,57.082,0.0,57.082
2026-01-10T23:33:34.287,2,77.257,0.0,77.257
2026-01-10T23:33:35.460,1,57.082,0.0,57.082
2026-01-10T23:33:35.460,2,82.299,3.0,81.331
2026-01-10T23:33:36.479,1,57.082,0.0,57.082
2026-01-10T23:33:36.479,2,82.303,3.0,81.334
